name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"XR One","XR","https://icodrops.com/media/cache/68/53/68533aa428fe99abd89631779b7383b7.webp","https://icodrops.com/xr-one/","Node Sale Round","$2.38 M","$80 M","Blockchain Service","Active","","Animoca Brands","Outlier Ventures","Acacia Digital Holdings","More Details","Arbitrum","","",""
"PinEye","PINEYE","https://icodrops.com/media/cache/ff/3d/ff3d90473ee02e3bb3363bde290bd48f.webp","https://icodrops.com/pineye/","Tap-to-Earn","—","$6.07 K","Gaming","Active","","Binance coin","","","","","","",""
"ODOS","","https://icodrops.com/media/cache/9c/c8/9cc81f591a7a857b3783cb1ea0f1c49d.webp","https://icodrops.com/odos/","Airdrop","—","$11.87 M","DeFi","Active","","CE Innovation Capital","Curved Ventures","Mantle","More Details","","","",""
"Crypto All-Stars","STARS","https://icodrops.com/media/cache/e7/1c/e71c03cf1764ff55e59a0457f5470c29.webp","https://icodrops.com/crypto-all-stars/","Presale","$15.32 M","—","Memecoin","Active","","","","","","","","",""
"Gevulot","","https://icodrops.com/media/cache/0b/99/0b993bf56fdb460fe186b37b92c98cf5.webp","https://icodrops.com/gevulot/","Node Sale Round","$6 M","—","Blockchain","Active","","Variant","Volt Capital","Alchemy","More Details","","","",""
"Pond","","https://icodrops.com/media/cache/38/ad/38ad1a7cf4c93c1096ef7b63911e3f16.webp","https://icodrops.com/pond/","Incentivized Activities","$7.5 M","—","Blockchain Service","Active","","Coinbase Ventures","Archetype","Delphi Ventures","More Details","","","",""
"Moonveil","","https://icodrops.com/media/cache/45/1b/451b2d426fc6ac5e2b274d12a965063a.webp","https://icodrops.com/moonveil/","Incentivized Activities","$11 M","$397.6 K","Gaming","Active","","gumi Cryptos Capital","HashKey Capital","IOSG Ventures","More Details","","","",""
"Naxy AI","NAXY","https://icodrops.com/media/cache/62/d8/62d8060825aa82c14bae134407fc7c5b.webp","https://icodrops.com/naxy-ai/","Presale","$135 K","—","Security","Active","","","","","","","","",""
"Humanity Protocol","","https://icodrops.com/media/cache/d9/1a/d91a65477cb580d01748eae2c3e4c156.webp","https://icodrops.com/humanity-protocol/","Points Farming","$50 M","$1.46 B","Infrastructure","Active","","Blockchain.com Ventures","Hashed","Mechanism Capital","More Details","","","",""
"Ithaca","","https://icodrops.com/media/cache/73/16/731644c684ee5273d4ccabe8cdc06784.webp","https://icodrops.com/ithaca/","Retroactive Airdrop","$20 M","—","Blockchain","Active","","Paradigm","","","","","","",""
"Flappy Bird","","https://icodrops.com/media/cache/62/94/6294ad0a54c3569f392458b18da1d05e.webp","https://icodrops.com/flappy-bird/","Tap-to-Earn","$2 M","—","Gaming","Active","","Big Brain Holdings","Kenetic Capital","Four Seasons Ventures (4SV)","More Details","The Open Network","","",""
"Dragonz Land","","https://icodrops.com/media/cache/5f/c9/5fc944f9d356fddd6485913d58db8208.webp","https://icodrops.com/dragonz-land/","Tap-to-Earn","$9 M","—","Gaming","Active","","Syndicate Capital Group","Venom","","","","","",""
"Milady Maker","","https://icodrops.com/media/cache/1e/42/1e42fd3060e4c73a8b61b1afc9228dfd.webp","https://icodrops.com/milady-maker/","NFT Sale","—","—","NFT","Active","","Ethereum","","","","","","",""
"Bitcoin Puppets","","https://icodrops.com/media/cache/08/ce/08ceec82ea33cddbbd946f1509163149.webp","https://icodrops.com/bitcoin-puppets/","NFT Sale","—","—","NFT","Active","","Bitcoin","","","","","","",""
"Seedworld","WORLD","https://icodrops.com/media/cache/e8/36/e836023e01790a464b318104f1d368a6.webp","https://icodrops.com/seedworld/","Seed Roots Sale","—","$30 M","Gaming","Active","","","","","","","","",""
"Paloma","GRAIN","https://icodrops.com/media/cache/ed/06/ed0683868b2538f865568dcf699efcac.webp","https://icodrops.com/paloma/","Node Sale Round","—","$43.68 M","Blockchain","Active","","Paloma","","","","","","",""
"EtherDrops","DPS","https://icodrops.com/media/cache/55/f8/55f89e24d20abb50ef249fd4973039d7.webp","https://icodrops.com/etherdrops/","Incentivized Activities","—","—","Perpetual","Active","","DWF Labs","Axia8 Ventures","Bithumb Global","More Details","","","",""
"StarryNift","","https://icodrops.com/media/cache/8f/13/8f13f58bc6b8a1320a8681da064b3e8d.webp","https://icodrops.com/starry-nift/","Airdrop","$10 M","—","Artificial Intellig…","Active","","YZi Labs (prev Binance Labs)","CoinGecko Ventures","OKX Ventures","More Details","Ethereum","","",""
"1win Token","1WIN","https://icodrops.com/media/cache/45/ad/45ad6a16d9c6a310d0ec42324b136efb.webp","https://icodrops.com/1win-token/","Tap-to-Earn","—","—","Gaming","Active","","The Open Network","","","","","","",""
"SnakeLite","SNAKE","https://icodrops.com/media/cache/8e/d0/8ed06de0bf1ee76ad8fc8b8d5a3b9ecd.webp","https://icodrops.com/snakelite/","Tap-to-Earn","$4 M","—","Gaming","Active","","Fenbushi Capital","HTX Ventures (previously Huobi Ventures)","Gate.io","More Details","The Open Network","","",""
"FullHouse","FH","https://icodrops.com/media/cache/2d/da/2dda42f982ebde038c948b5f3df66cd7.webp","https://icodrops.com/fullhouse/","Pre-Sale","—","$75 M","Gambling","Active","","Binance coin","","","","","","",""
"Farcaster","","https://icodrops.com/media/cache/a7/21/a7213cc2e4e70384b694f4006060e0f1.webp","https://icodrops.com/farcaster/","Possible Retrodrop","$180 M","$1 B","Social","Active","","1confirmation","Andreessen Horowitz (a16z)","Balaji Srinivasan","More Details","Own","","",""
"Andrena (dawn)","","https://icodrops.com/media/cache/e8/0e/e80e555b1a24e363f69a648216aaeead.webp","https://icodrops.com/andrena/","Points Farming","$48.5 M","—","DePIN","Active","","Polychain Capital","6MV (6th Man Ventures)","CMT Digital","More Details","","","",""
"Eclipse","ES","https://icodrops.com/media/cache/ac/65/ac657b50362f22763fd50338817ab97e.webp","https://icodrops.com/eclipse/","Airdrop for NFT Holders","$65 M","$137.9 M","Infrastructure","Active","","Delphi Digital (Delphi Labs)","Polychain Capital","Fenbushi Capital","More Details","Solana","","",""
"Sahara","SAHARA","https://icodrops.com/media/cache/cc/97/cc97f6b54ae9661ada55fe0168f47f0e.webp","https://icodrops.com/sahara-2/","Testnet","$51.5 M","$222.6 M","Artificial Intellig…","Active","","YZi Labs (prev Binance Labs)","Pantera Capital","Polychain Capital","More Details","","","",""
"Synnax Technologies","SYNAI","https://icodrops.com/media/cache/23/83/238379958b606f2afc5a9a8db7b22410.webp","https://icodrops.com/synnax-technologies/","Incentivized Activities","$1.55 M","—","Artificial Intellig…","Active","","BitScale Capital","Wintermute","Kenetic Capital","More Details","","","",""
"Zephyr","ZEFY","https://icodrops.com/media/cache/eb/90/eb9049f5bbd11b9afb6b36e40c31090a.webp","https://icodrops.com/zephyr/","Points Farming","$679 K","$5.5 M","DeFi","Active","","Solana","","","","","","",""
"Kuzco","","https://icodrops.com/media/cache/06/9f/069fd3d2003231d021e682aaf8298211.webp","https://icodrops.com/kuzco/","Incentivized Testnet","—","—","DePIN","Active","","Solana","","","","","","",""
"Sentient","SENT","https://icodrops.com/media/cache/af/e6/afe6eafe1bd9c1759dddbf81d1b6de81.webp","https://icodrops.com/sentient/","Airdrop","$92.6 M","$822.57 M","Artificial Intellig…","Active","","Framework Ventures","Pantera Capital","Arrington Capital","More Details","","","",""
"Grass","","https://icodrops.com/media/cache/fc/42/fc42ba1ce9ee185ffc5833829b63390a.webp","https://icodrops.com/grass/","Points Farming","$13.5 M","$301.9 M","Artificial Intellig…","Active","","Delphi Digital (Delphi Labs)","Polychain Capital","BitScale Capital","More Details","","","",""
"Rage Trade","RAGE","https://icodrops.com/media/cache/27/38/2738aa9d2f2cada2b1e0490badf8be60.webp","https://icodrops.com/rage-trade/","Point System Activity","$6 M","$25.2 K","Yield Aggregator","Active","","CMS Holdings","Lemniscap","mgnr.io","More Details","","","",""
"MagpieXYZ","MGP","https://icodrops.com/media/cache/a9/03/a90333aa7d30e5c96520f31f5192ad48.webp","https://icodrops.com/magpiexyz/","Points Farming","$2.75 M","$2.83 M","BNB Chain Ecosystem","Active","","Binance coin","","","","","","",""
"Fatty","FATTY","https://icodrops.com/media/cache/68/95/68954ae04244ae14df3beeadaf4524a5.webp","https://icodrops.com/fatty/","Airdrop","$1.51 M","$18 M","Play-To-Earn","Active","","Arbitrum","","","","","","",""
