name,ticker,link,price_24h,change_24h,volume_24h,fdv,market_cap,funding_price,roi,total_raised,date,investor_1,investor_2,investor_3,investor_4
"Band Protocol","BAND","https://icodrops.com/band-protocol/","$0.1807","0.16%","$3.65 M","$32.8 M","$32.8 M","0.47","0.38x","$10.85 M","Sep 17, 2019","YZi Labs (prev Binance Labs)","Peak XV Partners(ex-Sequoia India)","The Spartan Group","More Details"
"Hedera Hashgraph","HBAR","https://icodrops.com/hashgraph/","$0.0737","-1.84%","$32.55 M","$3.69 B","$3.23 B","0.096","0.77x","$123 M","Sep 16, 2019","Strobe (Prev. BlockTower Capital)","Digital Currency Group (DCG)","IBM","More Details"
"Crypto.com","MCO","https://icodrops.com/cro/","$0.05547","-7.94%","$5.88 M","$5.49 B","$2.69 B","0.1","0.55x","$426.2 M","Sep 11, 2019","Citadel Securities","","",""
"Nestree","EGG","https://icodrops.com/nestree/","$0.000349","-0.20%","$729.67 K","$1.02 M","$1.05 M","0.01","0.03x","$6 M","Sep 9, 2019","Airbloc","Bibox Fund","Blockcloud","More Details"
"MixMarvel","MIX","https://icodrops.com/mixmarvel/","$0.00000163","-4.12%","$34.2","$16.9 K","$15.83 K","—","0.01x","—","Sep 2, 2019","","","",""
"DEAPcoin","DEP","https://icodrops.com/deapcoin/","$0.0009868","0.24%","$134.92 K","$29.46 M","$29.46 M","0.0025","0.39x","$32 M","Aug 29, 2019","The Spartan Group","JAFCO Asia","",""
"Gate.IO","GT","https://icodrops.com/gate-io/","$7.95","-2.79%","$644.75 K","$941.15 M","$847.56 M","0.28","28x","$83 M","Aug 26, 2019","","","",""
"Perlin","PERL","https://icodrops.com/perlin/","$0.0001349","2.91%","$467.81","$139.38 K","$66.23 K","0.0774","0.01x","$60.54 M","Aug 26, 2019","BlockVc","AU21 Capital","Chain Capital","More Details"
"Wink","WIN","https://icodrops.com/wink/","$0.00003142","-1.53%","$17.52 M","$29.86 M","$31.22 M","0.00012","0.26x","$16 M","Aug 1, 2019","YZi Labs (prev Binance Labs)","","",""
"FTX Token","FTT","https://icodrops.com/ftx-token/","$0.2202","-3.53%","$447.41 K","$88.83 M","$72.42 M","0.7","0.31x","$1.73 B","Jul 31, 2019","YZi Labs (prev Binance Labs)","Lightspeed Venture Partners","Multicoin Capital","More Details"
"Syntropy","NOIA","https://icodrops.com/syntropy/","$0.001231","-9.95%","$251.02","$260.29 K","$262.2 K","0.033","0.04x","$6.6 M","Jul 31, 2019","Moonrock Capital","TRGC","Mapleblock Capital","More Details"
"Ultra","UOS","https://icodrops.com/ultra/","$0.003235","-5.02%","$236.6 K","$3.46 M","$1.55 M","0.05","0.07x","$23.39 M","Jul 31, 2019","Bitfinex","ZBS Capital","Noia Capital",""
"THORChain","RUNE","https://icodrops.com/thorchain/","$0.4719","-0.03%","$57.71 M","$134.41 M","$155.94 M","0.032","14.75x","$6.18 M","Jul 20, 2019","Delphi Digital (Delphi Labs)","IDEO CoLab Ventures","Multicoin Capital","More Details"
"Akropolis","AKRO","https://icodrops.com/akropolis/","$0.0000048","2.09%","$26.8","$84.6 K","$21.29 K","0.0081","0.01x","$2.4 M","Jul 20, 2019","IDEO CoLab Ventures","The Spartan Group","LedgerPrime",""
"Prom","PROM","https://icodrops.com/prom/","$5.73","-18.00%","$61.02 M","$128.59 M","$104.57 M","1","5.71x","$4.85 M","Jul 17, 2019","DWF Labs","NGC Ventures","",""
"Wirex","WXT","https://icodrops.com/wirex/","$0.0009889","1.94%","$297.35 K","$14.81 M","$9.89 M","0.005","0.2x","$29.3 M","Jul 9, 2019","SBI Investment (Group)","","",""
"Elrond Network","ERD","https://icodrops.com/elrond-network/","$3.837","-0.35%","$4.15 M","$106.34 M","$117.71 M","0.65","5.88x","$1.9 M","Jul 2, 2019","YZi Labs (prev Binance Labs)","Electric Capital","Authorito Capital","More Details"
"Chiliz","","https://icodrops.com/chiliz/","$0.01327","-4.09%","$22.26 M","$147.2 M","$139.51 M","0.0215","0.62x","$65 M","Jul 1, 2019","YZi Labs (prev Binance Labs)","Jump Crypto","FBG Capital","More Details"
"SWIPE","sxp","https://icodrops.com/swipe-network/","$0.004821","23.40%","$39.83","$2.36 M","$3.25 M","0.2","0.02x","$12 M","Jul 1, 2019","YZi Labs (prev Binance Labs)","","",""
"Ampleforth","AMPL","https://icodrops.com/ampleforth/","$1.194","-6.23%","$169.4 K","$13.2 M","$33.76 M","0.98","1.22x","$9.75 M","Jun 28, 2019","Pantera Capital","Arrington Capital","FBG Capital","More Details"
"Algorand","ALGO","https://icodrops.com/algorand/","$0.08502","-2.79%","$28.18 M","$781 M","$768.38 M","2.4","0.04x","$126 M","Jun 22, 2019","DWF Labs","Multicoin Capital","Union Square Ventures","More Details"
"Contentos","COS","https://icodrops.com/contentos/","$0.0002632","-5.51%","$405.3 K","$2.57 M","$1.36 M","0.015","0.02x","$31.23 M","Jun 22, 2019","YZi Labs (prev Binance Labs)","Node Capital","DHVC","More Details"
