name,ticker,link,price_24h,change_24h,volume_24h,fdv,market_cap,funding_price,roi,total_raised,date,investor_1,investor_2,investor_3,investor_4
"CAP","CAP","https://icodrops.com/cap-3/","$0.0691","3.32%","$14.21 M","$691 M","$107.8 M","0.0106","6.53x","$14.12 M","Jun 26, 2026","Fernando Martinelli","Selini Capital","Bryan Pellegrino","More Details"
"Arcium (Elusiv)","","https://icodrops.com/arcium/","$0.1204","-2.77%","$3.19 M","$200.3 M","$25.14 M","0.2","0.6x","$14 M","Jun 22, 2026","Jump Crypto","Coinbase Ventures","Moonrock Capital","More Details"
"Your Open Metaverse (YOM)","YOM","https://icodrops.com/your-open-metaverse/","$0.0197","-1.29%","$2.5 M","$14.7 M","$2.6 M","0.075","0.26x","$3.08 M","Jun 5, 2026","","","",""
"XMAQUINA","DEUS","https://icodrops.com/xmaquina/","$0.01858","-15.44%","$509.98 K","$18.58 M","$9.29 M","0.045","0.41x","$10.31 M","May 27, 2026","Fundamental Labs","Moonrock Capital","CoinIX","More Details"
"Nexus Laboratories","NEX","https://icodrops.com/nexus-laboratories/","$0.00000144","-2.05%","$281.95 K","$295 M","$86.4 M","—","—","$25 M","May 20, 2026","Lightspeed Venture Partners","Pantera Capital","Dragonfly Capital","More Details"
"Billions Network","","https://icodrops.com/billions-network/","$0.0189","-4.51%","$1.27 M","$189 M","$45.89 M","0.01","1.89x","$35 M","May 4, 2026","Polychain Capital","BITKRAFT Ventures","Coinbase Ventures","More Details"
"Gensyn","AI","https://icodrops.com/gensyn/","$0.01955","-2.91%","$1.55 M","$192.2 M","$25.51 M","0.0473","0.41x","$66.74 M","Apr 29, 2026","Andreessen Horowitz (a16z)","CoinFund","Galaxy","More Details"
"OpenGradient","OPG","https://icodrops.com/opengradient/","$0.09433","-1.90%","$9.04 M","$93.53 M","$20.93 M","—","—","$8.5 M","Apr 21, 2026","Andreessen Horowitz (a16z)","Balaji Srinivasan","Coinbase Ventures","More Details"
"Octra","OCT","https://icodrops.com/octra/","$0.02165","-3.69%","$17.55 K","$13.54 M","$13.54 M","0.2","0.11x","$8 M","Apr 20, 2026","Big Brain Holdings","Outlier Ventures","Builder Capital","More Details"
"Sentio","ST","https://icodrops.com/sentio/","$0.01268","-3.27%","$64.27 K","$19.6 M","$710.08 K","0.02","0.63x","$6.6 M","Apr 15, 2026","Lightspeed Venture Partners","HashKey Capital","GSR Ventures","More Details"
"Genius","GENIUS","https://icodrops.com/genius-2/","$0.2822","-1.04%","$7.79 M","$515.24 M","$94.64 M","—","1.45x","$6 M","Apr 13, 2026","Balaji Srinivasan","YZi Labs (prev Binance Labs)","Anthony Scaramucci","More Details"
"Mandala Chain","KPG","https://icodrops.com/mandala-chain/","$0.002022","-1.47%","$128.44","$2.47 M","$48.53 K","0.029","0.07x","$1 M","Apr 12, 2026","Harbour Industrial Capital","NLS Ventures","O-DE Capital Partners",""
"Anthropic","","https://icodrops.com/anthropic/","$1916.06","0.82%","$6.57 M","$965 B","—","—","—","$117.5 B","Apr 9, 2026","Lightspeed Venture Partners","Sequoia Capital","BlackRock","More Details"
"USD.AI","CHIP","https://icodrops.com/usd-ai/","$0.03933","-2.54%","$12.25 M","$393.3 M","$78.66 M","0.03","1.32x","$36.8 M","Mar 30, 2026","YZi Labs (prev Binance Labs)","Framework Ventures","CMT Digital","More Details"
"Based","BASED","https://icodrops.com/based-one/","$0.06723","-5.97%","$7.29 M","$77.09 M","$15.8 M","—","—","$11.5 M","Mar 30, 2026","Pantera Capital","Coinbase Ventures","Wintermute","More Details"
"Katana","KAT","https://icodrops.com/katana/","$0.004578","-0.58%","$4.24 M","$45.78 M","$14.52 M","—","—","—","Mar 18, 2026","","","",""
"Backpack","BP","https://icodrops.com/backpack/","$0.4117","0.09%","$1.81 M","$411.7 M","$102.92 M","—","—","$37 M","Mar 17, 2026","Jump Crypto","Multicoin Capital","Amber Group","More Details"
"Unitas","UP","https://icodrops.com/unitas/","$0.503","5.39%","$13.56 M","$503 M","$73.44 M","0.005","101x","$13.33 M","Mar 13, 2026","Amber Group","Bixin Ventures","SevenX Ventures","More Details"
"Yellow Network","","https://icodrops.com/yellow-network/","$0.03443","-4.71%","$1.85 K","$372.6 M","$6.68 M","—","0.96x","$11 M","Mar 8, 2026","ConsenSys","Moonrock Capital","MV Global","More Details"
"idOS","IDOS","https://icodrops.com/idos/","$0.005404","0.98%","$66.96 K","$5.53 M","$1.54 M","—","—","$4.5 M","Mar 5, 2026","Fabric Ventures","Aleph","Arbitrum Foundation","More Details"
"Block Street","BSB","https://icodrops.com/block-street/","$0.1052","-0.38%","$3.5 M","$106.7 M","$24.86 M","—","—","$11.5 M","Mar 4, 2026","DWF Labs","Hack VC","Bridge34","More Details"
"Opinion Labs","OPN","https://icodrops.com/opinion-labs/","$0.05386","-1.44%","$3.58 M","$54.4 M","$9.71 M","—","—","$25 M","Mar 2, 2026","YZi Labs (prev Binance Labs)","Jump Crypto","Amber Group","More Details"
"Bitway","BTW","https://icodrops.com/bitway/","$0.4085","1.91%","$5.43 M","$4.08 B","$1.11 B","0.008","50.68x","$5.44 M","Mar 2, 2026","YZi Labs (prev Binance Labs)","HTX Ventures (previously Huobi Ventures)","Tron",""
"Mezo","","https://icodrops.com/mezo/","$0.007067","-0.54%","$237.97 K","$7.25 M","$607.68 K","—","—","$28.5 M","Feb 27, 2026","Multicoin Capital","Pantera Capital","Draper Associates","More Details"
"Flying Tulip","FT","https://icodrops.com/flying-tulip/","$0.1001","-1.24%","$244.59 K","$1.01 B","$2.07 M","0.1","1x","$431.5 M","Feb 23, 2026","Brevan Howard","DWF Labs","Amber Group","More Details"
"Aztec","AZTEC","https://icodrops.com/aztec/","$0.01337","-0.17%","$948.52 K","$140.14 M","$38.5 M","0.047","0.28x","$178.23 M","Feb 11, 2026","Andreessen Horowitz (a16z)","Paradigm","Variant","More Details"
"Superform","UP","https://icodrops.com/superform/","$0.05301","-2.44%","$1.55 M","$54.15 M","$11.72 M","—","1.06x","$12.92 M","Feb 10, 2026","Polychain Capital","Amber Group","Strobe (Prev. BlockTower Capital)","More Details"
"Rainbow","RNBW","https://icodrops.com/rainbow/","$0.01353","-5.13%","$194.93 K","$14.86 M","$2.84 M","0.1","0.14x","$19.5 M","Feb 5, 2026","35Ventures","Hyperguap","Nikita Bier","More Details"
"Tea","TEA","https://icodrops.com/tea/","$0.00003841","0.16%","$1.78 M","$4.35 M","$733.62 K","0.0005","0.08x","$16.9 M","Feb 5, 2026","YZi Labs (prev Binance Labs)","Woodstock Fund","RockTree Capital","More Details"
"Tria","TRIA","https://icodrops.com/tria/","$0.004957","-8.35%","$2.25 M","$125.6 M","$10.7 M","—","0.31x","$12 M","Feb 3, 2026","P2 Ventures","Sandeep Nailwal","Aptos","More Details"
"Zama","ZAMA","https://icodrops.com/zama/","$0.04966","-5.87%","$5.83 M","$368.39 M","$109.25 M","0.05","1x","$229 M","Feb 2, 2026","Multicoin Capital","Pantera Capital","Blockchange Ventures","More Details"
"Infinex","INX","https://icodrops.com/infinex/","$0.006567","-5.02%","$1.31 M","$65.67 M","$13.1 M","—","0.33x","$130.58 M","Jan 30, 2026","Framework Ventures","0xMaki","Arthur Cheong","More Details"
"Immunefi","IMU","https://icodrops.com/immunefi/","$0.002312","-0.24%","$602.21 K","$28.39 M","$2.43 M","0.0118","0.2x","$37 M","Jan 22, 2026","Electric Capital","Framework Ventures","IDEO CoLab Ventures","More Details"
"ETHGAS","GWEI","https://icodrops.com/ethgas/","$0.02347","-5.92%","$3.97 M","$241.9 M","$41.07 M","—","0.87x","$12 M","Jan 21, 2026","Polychain Capital","Amber Group","BlueYard","More Details"
"Seeker (Solana Mobile)","SKR","https://icodrops.com/seeker-solana-mobile/","$0.02908","78.46%","$336.05 M","$98.83 M","$141.52 M","—","1.04x","—","Jan 21, 2026","","","",""
"HeyElsa","ELSA","https://icodrops.com/heyelsa/","$0.04641","0.55%","$1.7 M","$57.44 M","$11.86 M","—","—","$3 M","Jan 20, 2026","2Shares","Absoluta Digital","Alexey Bondar","More Details"
"Acurast","ACU","https://icodrops.com/acurast/","$0.1157","-6.18%","$3.33 M","$84.96 M","$25.11 M","0.09","1.3x","$20.4 M","Jan 20, 2026","CoinList","Gavin Wood","Leonard Dorlochter","More Details"
"RollX","ROLL","https://icodrops.com/rollx/","$0.1384","1.96%","$637.37 K","$138.7 M","$21.45 M","—","—","—","Jan 16, 2026","","","",""
"Owlto Finance","OWL","https://icodrops.com/owlto-finance/","$0.0008007","-2.08%","$142.96 K","$1.43 M","$264.23 K","—","—","$8 M","Jan 15, 2026","Bixin Ventures","SNZ Holding","x21 Digital","More Details"
"Fogo","FOGO","https://icodrops.com/fogo/","$0.00732","-3.10%","$1.71 M","$81.82 M","$28.41 M","0.035","0.21x","$20.5 M","Jan 15, 2026","Cobie","CMS Holdings","Selini Capital","More Details"
"DeepNode AI","DN","https://icodrops.com/deepnode-ai/","$0.02307","7.78%","$373.07 K","$8 M","$519.08 K","—","—","$5 M","Jan 9, 2026","Blockchain Founders Fund","FOMO Ventures","IOBC Capital","More Details"
"ZenChain","ZTC","https://icodrops.com/zenchain/","$0.0005545","-0.16%","$186.27 K","$11.64 M","$3.09 M","—","—","$10 M","Jan 7, 2026","DWF Labs","Genesis capital","Watermelon Capital",""
"Brevis","BREV","https://icodrops.com/brevis/","$0.07464","-0.57%","$3.26 M","$100.3 M","$18.66 M","0.07","1.07x","$7.5 M","Jan 6, 2026","YZi Labs (prev Binance Labs)","Polychain Capital","Bankless","More Details"
"Depinsim","","https://icodrops.com/depinsim/","$0.02117","-3.48%","$4.13 K","$25.24 M","$2.85 M","—","—","$8 M","Jan 5, 2026","DWF Labs","Outlier Ventures","Becker Ventures","More Details"
"Lighter","LIT","https://icodrops.com/lighter/","$3.691","3.21%","$59.52 M","$2.49 B","$922.75 M","2","1.82x","$68 M","Dec 30, 2025","Founders Fund","Haun Ventures","Ribbit Capital","More Details"
"Kodiak","KDK","https://icodrops.com/kodiak-2/","$0.1042","-0.38%","$8.29 K","$13.55 M","$1.54 M","0.35","0.3x","$5.95 M","Dec 23, 2025","Amber Group","Hack VC","3Commas","More Details"
"TradeTide AI","TTD","https://icodrops.com/tradetide-ai/","$0.00003356","1.52%","$914.97","$35.73 K","$4.61 K","—","—","—","Dec 20, 2025","Candaq Fintech Group","CatcherVC","CGV FoF (Cryptogram Venture)","More Details"
"zkPass","","https://icodrops.com/zkpass/","$0.04693","-18.99%","$49.91 M","$44.25 M","$13.84 M","—","—","$15 M","Dec 19, 2025","YZi Labs (prev Binance Labs)","HongShan (ex-Sequoia China)","Amber Group","More Details"
"RateX","RTX","https://icodrops.com/ratex/","$0.7909","-0.44%","$47.63 K","$86.56 M","$13.18 M","—","—","$7 M","Dec 19, 2025","Crypto.com","Animoca Brands","Gate.io","More Details"
"Vooi","VOOI","https://icodrops.com/vooi/","$0.009487","0.64%","$281.12 K","$9.36 M","$3.27 M","—","0.06x","$1.25 M","Dec 18, 2025","YZi Labs (prev Binance Labs)","","",""
"Infrared","IR","https://icodrops.com/infrared/","$0.178","3.67%","$10.62 K","$178 M","$36.49 M","0.02","8.8x","$16.65 M","Dec 17, 2025","YZi Labs (prev Binance Labs)","Framework Ventures","Selini Capital","More Details"
"TheoriqAI (ChainML)","THQ","https://icodrops.com/theoriqai/","$0.01123","-3.23%","$332.08 K","$11.24 M","$1.73 M","0.075","0.15x","$10.2 M","Dec 16, 2025","Hack VC","HashKey Capital","HTX Ventures (previously Huobi Ventures)","More Details"
"Almanak","ALMANAK","https://icodrops.com/almanak/","$0.002216","15.61%","$7.3 K","$2.3 M","$595.66 K","0.043","0.05x","$11.95 M","Dec 11, 2025","Delphi Digital (Delphi Labs)","Bankless","HashKey Capital","More Details"
"Cysic","","https://icodrops.com/cysic/","$0.6751","-15.50%","$24.52 M","$675.1 M","$108.56 M","—","2.53x","$18 M","Dec 11, 2025","Polychain Capital","HashKey Capital","OKX Ventures","More Details"
"HumidiFi","WET","https://icodrops.com/humidifi/","$0.06032","-1.47%","$751.2 K","$60.32 M","$10.3 M","0.069","0.88x","—","Dec 9, 2025","","","",""
"Stable","","https://icodrops.com/stable-2/","$0.02727","3.01%","$3.72 M","$3.5 B","$706.3 M","—","—","$28 M","Dec 8, 2025","eGirl Capital","Hack VC","Paolo Ardoino","More Details"
"Rayls","RLS","https://icodrops.com/rayls/","$0.001892","-2.94%","$223.79 K","$22.61 M","$2.84 M","—","0.06x","—","Dec 1, 2025","","","",""
"Irys","IRYS","https://icodrops.com/irys/","$0.0141","2.89%","$2.38 M","$141.2 M","$28.2 M","—","—","$18.9 M","Nov 25, 2025","Framework Ventures","CoinFund","Hypersphere Ventures","More Details"
"Sparkle","SSS","https://icodrops.com/sparkle/","$0.00000635","16.71%","$130.35","$6.2 K","$774.7","—","—","—","Nov 24, 2025","","","",""
"Monad","","https://icodrops.com/monad/","$0.02675","-3.73%","$44.59 M","$2.08 B","$316.32 M","0.025","1.07x","$431.5 M","Nov 24, 2025","Cobie","Electric Capital","Paradigm","More Details"
"Kyuzo's Friends","","https://icodrops.com/kyuzos-friends/","$0.002914","-1.56%","$634.78","$2.91 M","$633.8 K","—","0.14x","$11 M","Nov 23, 2025","Chain Capital","LBank Ventures","DeAgentAI","More Details"
"Sentient","SENT","https://icodrops.com/sentient/","$0.01273","-0.77%","$2.39 M","$437.4 M","$92.14 M","0.0111","1.15x","$92.6 M","Nov 22, 2025","Framework Ventures","Pantera Capital","Arrington Capital","More Details"
"Superfluid","SUP","https://icodrops.com/superfluid/","$0.0059","6.82%","$28.39 K","$5.93 M","$603.19 K","—","—","$14.1 M","Nov 22, 2025","Balaji Srinivasan","Delphi Digital (Delphi Labs)","Multicoin Capital","More Details"
"BOB","BOB","https://icodrops.com/bob-2/","$0.005225","6.21%","$2.51 M","$54.29 M","$11.6 M","—","—","$23 M","Nov 20, 2025","Alliance","Amber Group","Bankless","More Details"
"GAIB","GAIB","https://icodrops.com/gaib/","$0.01445","1.64%","$420.93 K","$12.91 M","$2.96 M","—","—","$15 M","Nov 19, 2025","Amber Group","Faction","Hack VC","More Details"
"Solomon Labs","SOLO","https://icodrops.com/solomon-labs/","$0.6712","0.78%","$22.41 K","$15.09 M","$8.66 M","0.8","0.84x","$8 M","Nov 19, 2025","","","",""
"Datagram","DGRAM","https://icodrops.com/datagram/","$0.0000248","1.84%","$64.96","$240.7 K","$51.85 K","—","0.01x","$4 M","Nov 18, 2025","Amber Group","Animoca Brands","Arche Fund","More Details"
"Allora","ALLO","https://icodrops.com/allora/","$0.2372","-5.27%","$5.48 M","$134.36 M","$47.56 M","—","—","$32.5 M","Nov 11, 2025","Blockchain Capital","Delphi Digital (Delphi Labs)","Framework Ventures","More Details"
"Aria Protocol","ARIAIP","https://icodrops.com/aria-protocol/","$0.0005723","2.34%","$15.56","$622.5 K","$190.58 K","—","—","$16.1 M","Nov 7, 2025","Polychain Capital","OKX Ventures","Selini Capital","More Details"
"Belong","LONG","https://icodrops.com/belong/","$0.0004772","0.27%","$4.24 K","$357.9 K","$33.87 K","—","—","$8 M","Nov 6, 2025","G1 Ventures","3VO","432 Fund","More Details"
"Folks Finance","FOLKS","https://icodrops.com/folks-finance/","$1.976","-1.24%","$254.45 K","$98.8 M","$24.1 M","—","0.52x","$6.2 M","Nov 6, 2025","Jump Crypto","Coinbase Ventures","OKX Ventures","More Details"
"MegaETH","MEGA","https://icodrops.com/megaeth/","$0.0377","-2.41%","$4.46 M","$377 M","$42.59 M","0.0999","0.38x","$107.68 M","Nov 5, 2025","Cobie","Vitalik Buterin","Dragonfly Capital","More Details"
"Backstage","BKS","https://icodrops.com/backstage/","$0.0001331","-8.23%","$1.22 K","$1.35 M","$99.94 K","—","0.01x","—","Nov 5, 2025","AlphaCrypto","BitKeep","BlueZilla","More Details"
"Intuition","TRUST","https://icodrops.com/intuition/","$0.05339","0.37%","$2.17 M","$54.89 M","$9.59 M","0.085","0.63x","$6.5 M","Nov 5, 2025","ConsenSys","The Lao","Andrew Keys","More Details"
"Momentum (MSafe)","MMT","https://icodrops.com/msafe/","$0.1554","-3.40%","$4.08 M","$154.6 M","$31.72 M","—","—","$14.5 M","Nov 4, 2025","Jump Crypto","Amber Group","Coinbase Ventures","More Details"
"Play AI","PLAI","https://icodrops.com/play-ai/","$0.001725","-0.19%","$255.66 K","$1.91 M","$351.9 K","—","0.02x","$4.3 M","Nov 4, 2025","Jump Crypto","P2 Ventures","Alpha Wave Global","More Details"
"Kite AI","KITE","https://icodrops.com/kite-ai/","$0.1185","-7.91%","$11.1 M","$1.19 B","$290.34 M","—","—","$18 M","Nov 3, 2025","Coinbase Ventures","Hashed","HashKey Capital","More Details"
"Marina Protocol","BAY","https://icodrops.com/marina-protocol/","$0.01786","-2.92%","$472.18 K","$17.74 M","$3.57 M","—","—","$1.68 M","Nov 1, 2025","AC Capital","CREDIT SCEND","Hyper88","More Details"
"Canton Network","CC","https://icodrops.com/canton-network/","$0.1172","-0.94%","$9.31 M","$4.72 B","$4.62 B","—","—","$782.2 M","Oct 31, 2025","Andreessen Horowitz (a16z)","Polychain Capital","Coinbase Ventures","More Details"
"Lit Protocol","LITKEY","https://icodrops.com/lit-protocol/","$0.01367","9.76%","$116.91 K","$4.27 M","$3.01 M","—","—","$16.57 M","Oct 30, 2025","1kx","6MV (6th Man Ventures)","a_capital","More Details"
"375ai","EAT","https://icodrops.com/375ai/","$0.003737","-1.66%","$4 K","$16.08 M","$796.53 K","0.075","0.05x","$15 M","Oct 29, 2025","Delphi Digital (Delphi Labs)","6MV (6th Man Ventures)","Strobe (Prev. BlockTower Capital)","More Details"
"APRO","AT","https://icodrops.com/apro/","$0.1346","-1.40%","$2.43 M","$134.6 M","$33.65 M","—","—","$3 M","Oct 24, 2025","YZi Labs (prev Binance Labs)","Polychain Capital","CMS Holdings","More Details"
"Orochi Network","ON","https://icodrops.com/orochi-network/","$0.2315","-7.30%","$1.15 M","$66.95 M","$33.4 M","—","0.77x","$20 M","Oct 24, 2025","Ethereum Foundation","Kyros Ventures","MEXC","More Details"
"ZKLSOL","ZKFG","https://icodrops.com/zklsol/","$0.15","-0.55%","$0.94","$628.59 K","$634.09 K","0.097","1.55x","$970 K","Oct 24, 2025","","","",""
"Cygnus Finance","CGN","https://icodrops.com/cygnus-finance/","$0.002092","0.63%","$62.97 K","$23.46 M","$4.81 M","—","0.1x","$20 M","Oct 23, 2025","eGirl Capital","Manifold Trading","OKX Ventures","More Details"
"aPriori","APR","https://icodrops.com/apriori/","$0.1901","3.22%","$1.18 M","$201.3 M","$52.81 M","0.005","38.32x","$30.07 M","Oct 23, 2025","YZi Labs (prev Binance Labs)","Pantera Capital","Arrington Capital","More Details"
"Meteora","MET","https://icodrops.com/meteora/","$0.193","-2.93%","$3.84 M","$158.84 M","$105.24 M","—","0.11x","—","Oct 23, 2025","","","",""
"Loyal","LOYAL","https://icodrops.com/loyal/","$0.115","-0.08%","$134.9","$2.73 M","$1.44 M","0.25","0.46x","$2.5 M","Oct 23, 2025","","","",""
"Turtle.Club","TURTLE","https://icodrops.com/turtle-club/","$0.04252","-0.24%","$481.74 K","$35.52 M","$6.58 M","—","0.15x","$11.7 M","Oct 22, 2025","Amber Group","BitScale Capital","ConsenSys","More Details"
"Limitless","LMTS","https://icodrops.com/limitless/","$0.08195","-5.08%","$399.07 K","$81.95 M","$10.78 M","—","0.14x","$17 M","Oct 22, 2025","1confirmation","Arrington Capital","Coinbase Ventures","More Details"
"Bluwhale","BLUAI","https://icodrops.com/bluwhale/","$0.01254","-4.47%","$2.17 M","$124.2 M","$15.4 M","458","—","$109.6 M","Oct 21, 2025","DWF Labs","Momentum 6","MV Global","More Details"
"Avici","AVICI","https://icodrops.com/avici/","$0.3641","-1.24%","$153.03 K","$4.7 M","$4.7 M","0.35","1.04x","$3.5 M","Oct 18, 2025","","","",""
"ZeroBase","ZBT","https://icodrops.com/zerobase/","$0.0836","0.10%","$7.52 M","$77.37 M","$27 M","—","—","$5 M","Oct 17, 2025","YZi Labs (prev Binance Labs)","Faction","Cherry Ventures","More Details"
"Yield Basis","YB","https://icodrops.com/yield-basis/","$0.09452","-1.65%","$8.76 M","$72.16 M","$14.45 M","0.1","0.95x","$12.5 M","Oct 15, 2025","","","",""
"Enso Finance","ENSO","https://icodrops.com/ensofinance/","$0.8938","2.17%","$34.9 M","$85.6 M","$18.4 M","1.25","0.73x","$9.2 M","Oct 14, 2025","IDEO CoLab Ventures","Multicoin Capital","Polychain Capital","More Details"
"umbra privacy","","https://icodrops.com/umbra-privacy/","$0.2223","-3.66%","$7.62 K","$5.75 M","$2.22 M","0.3","0.74x","$3 M","Oct 10, 2025","","","",""
"Pipe Network","PIPE","https://icodrops.com/pipe-network/","$0.0236","2.98%","$521.86 K","$20.31 M","$2.36 M","0.2","0.12x","$10 M","Oct 8, 2025","Multicoin Capital","","",""
"DoubleZero","2Z","https://icodrops.com/doublezero/","$0.05306","-2.55%","$4.09 M","$705.7 M","$184.19 M","—","0.07x","$28 M","Oct 2, 2025","Multicoin Capital","Dragonfly Capital","Foundation Capital","More Details"
"Everlyn","LYN","https://icodrops.com/everlyn/","$0.03552","-2.27%","$510.43 K","$36.25 M","$9.08 M","—","—","$15 M","Sep 30, 2025","Selini Capital","Aethir","Baseline (Emirates)","More Details"
"OpenEden","EDEN","https://icodrops.com/openeden/","$0.05762","-6.13%","$5.24 M","$52.94 M","$24.33 M","—","—","$5 M","Sep 30, 2025","YZi Labs (prev Binance Labs)","Faction","Selini Capital","More Details"
"Falcon Finance","FF","https://icodrops.com/falcon-finance/","$0.08647","-8.86%","$8.06 M","$864.7 M","$202.34 M","0.045","1.94x","$24 M","Sep 29, 2025","World Liberty Financial","Cypher Capital Group","M2",""
"Anoma","XAN","https://icodrops.com/anoma/","$0.01339","4.93%","$2.6 M","$108.8 M","$33.48 M","—","—","$60.25 M","Sep 29, 2025","Delphi Digital (Delphi Labs)","Electric Capital","Polychain Capital","More Details"
"GOAT Network","","https://icodrops.com/goat-network/","$0.008125","-1.05%","$140.01 K","$8.01 M","$1.07 M","—","0.07x","$5 M","Sep 28, 2025","Amber Group","Crypto.com","OKX Ventures","More Details"
"Hana Network","HANA","https://icodrops.com/hana-network/","$0.02003","-1.50%","$1.5 M","$20.03 M","$19.74 M","—","0.27x","$4 M","Sep 26, 2025","Alliance","Chelsea Jiang","Dewhales","More Details"
"Plasma","XPL","https://icodrops.com/plasma/","$0.08515","-3.19%","$35.16 M","$906 M","$153.27 M","0.05","1.72x","$74 M","Sep 25, 2025","Cobie","Framework Ventures","6MV (6th Man Ventures)","More Details"
"0G","0G","https://icodrops.com/0g/","$0.206","24.90%","$101.72 M","$206 M","$43.92 M","—","0.08x","$357.24 M","Sep 22, 2025","Delphi Digital (Delphi Labs)","Alliance","Bankless","More Details"
"Lombard","BARD","https://icodrops.com/lombard/","$0.1317","2.72%","$7.13 M","$127.2 M","$46.55 M","0.45","0.3x","$23.75 M","Sep 18, 2025","YZi Labs (prev Binance Labs)","Polychain Capital","OKX Ventures","More Details"
"Syndicate","SYND","https://icodrops.com/syndicate/","$0.007225","-2.19%","$194.3 K","$7.13 M","$3.46 M","—","0.01x","$21.8 M","Sep 18, 2025","Andreessen Horowitz (a16z)","Delphi Digital (Delphi Labs)","Electric Capital","More Details"
"Project Merlin","MRLN","https://icodrops.com/project-merlin/","$0.00000032","-7.71%","$3.33 K","$166.9 K","$35.44","0.05","0.01x","$2.24 M","Sep 16, 2025","","","",""
"Boundless","ZKC","https://icodrops.com/boundless/","$0.05463","-20.68%","$83.47 M","$46.4 M","$17.34 M","—","—","—","Sep 15, 2025","","","",""
"Holoworld AI","HOLO","https://icodrops.com/holoworld-ai/","$0.06417","-6.11%","$3.06 M","$138.87 M","$48.95 M","0.0049","12.99x","$100 K","Sep 11, 2025","","","",""
"UOMI","UOMI","https://icodrops.com/uomi/","$0.0001966","-1.54%","$50.19","$967.12 K","$185.59 K","0.003","0.07x","—","Sep 10, 2025","","","",""
"Linea","","https://icodrops.com/linea/","$0.002507","-1.12%","$7.3 M","$176.07 M","$61.49 M","—","0.07x","—","Sep 10, 2025","","","",""
"Starpower","STAR","https://icodrops.com/starpower/","$0.1136","-8.20%","$2.17 M","$62.84 M","$21.15 M","—","0.78x","$4.5 M","Sep 6, 2025","Framework Ventures","Alliance","BitScale Capital","More Details"
"Portal","","https://icodrops.com/portal/","$0.0007853","0.27%","$659.36 K","$3.72 M","$6.38 M","—","—","$117.5 M","Sep 3, 2025","Arrington Capital","Coinbase Ventures","OKX Ventures","More Details"
"Hemi Network","","https://icodrops.com/hemi-network/","$0.01466","38.13%","$77.42 M","$149 M","$14.33 M","—","—","$30 M","Aug 29, 2025","YZi Labs (prev Binance Labs)","Crypto.com","Selini Capital","More Details"
"Mitosis","MITO","https://icodrops.com/mitosis/","$0.02125","-8.49%","$1.93 M","$21.53 M","$3.85 M","—","—","$7 M","Aug 28, 2025","Amber Group","Big Brain Holdings","Digital Asset Capital Management (DACM)","More Details"
"Camp Network","CAMP","https://icodrops.com/camp-network/","$0.0004581","2.35%","$1.77 M","$4.37 M","$1.33 M","—","—","$29 M","Aug 27, 2025","1kx","Blockchain Capital","HTX Ventures (previously Huobi Ventures)","More Details"
"OVERTAKE","TAKE","https://icodrops.com/overtake/","$0.05763","-1.38%","$696.65 K","$20.76 M","$20.3 M","—","—","$7 M","Aug 25, 2025","Green Whale Ventures","Immutable","itemBay","More Details"
"Nockchain","NOCK","https://icodrops.com/nockchain/","$0.01677","24.82%","$1.24 M","$233.56 M","$28.01 M","—","—","$5 M","Aug 22, 2025","Delphi Digital (Delphi Labs)","Breed","Champion Hill Ventures","More Details"
"Sapien","SAPIEN","https://icodrops.com/sapien-2/","$0.08348","2.28%","$3.43 M","$90.47 M","$20.87 M","—","—","$15.5 M","Aug 20, 2025","Variant","Yield Guild Games (YGG)","Animoca Brands","More Details"
"RICE AI","RICE","https://icodrops.com/rice-ai/","$0.004899","-6.13%","$123.14 K","$4.84 M","$1.04 M","0.0075","0.65x","$7 M","Aug 18, 2025","DWF Labs","EnHeng","Floki","More Details"
"PublicAI","PUBLIC","https://icodrops.com/publicai/","$0.003313","-5.87%","$101.94 K","$7.22 M","$794.65 K","0.07","0.05x","$10 M","Aug 15, 2025","Blockchain Builders Fund","CSP DAO","Everstate Capital","More Details"
"Bitlayer","BTR","https://icodrops.com/bitlayer/","$0.09695","-39.19%","$30.56 M","$96.95 M","$32.31 M","0.02","4.98x","$29.4 M","Aug 13, 2025","Framework Ventures","Polychain Capital","Alliance","More Details"
"Suzaku","SUZ","https://icodrops.com/suzaku/","$0.006502","-5.25%","$255.5","$619.63 K","$263.48 K","0.14","0.05x","$1.5 M","Aug 13, 2025","50 Partners","Avalanche Foundation","Blizzard Fund (Avalanche Ecosystem)","More Details"
"Towns","TOWNS","https://icodrops.com/towns/","$0.002551","-0.19%","$2.53 M","$25.62 M","$8.68 M","—","—","$61 M","Aug 5, 2025","Andreessen Horowitz (a16z)","Framework Ventures","Coinbase Ventures","More Details"
"Succinct","PROVE","https://icodrops.com/succinct/","$0.1794","2.15%","$3.68 M","$179.4 M","$34.98 M","—","—","$55 M","Aug 5, 2025","Paradigm","Bankless","Elad Gil","More Details"
"Cycle Network","","https://icodrops.com/cycle-network/","$0.01989","-1.07%","$140.3 K","$9.55 M","$3.06 M","—","—","—","Aug 4, 2025","YZi Labs (prev Binance Labs)","GSG | Great South Gate","LTP | LiquidityTech","More Details"
