name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"Swan Chain (FilSwan)","","https://icodrops.com/media/cache/d7/4c/d74c0fdded7c53e3e8828d9e050d4dfd.webp","https://icodrops.com/filswan/","Private Stage","$5.89 M","$460.2 K","DePIN","Upcoming","","YZi Labs (prev Binance Labs)","DWF Labs","FBG Capital","More Details","","","",""
"Definitive","","https://icodrops.com/media/cache/79/09/7909af9af9f5d0da5595156cc4801f60.webp","https://icodrops.com/definitive/","Private Stage","$4.1 M","$115.7 M","DeFi","Upcoming","","Strobe (Prev. BlockTower Capital)","CMT Digital","Coinbase Ventures","More Details","","","",""
"ZEEBU","","https://icodrops.com/media/cache/f9/66/f96683355a06a046ba736f502fb5216b.webp","https://icodrops.com/zeebu/","Private Stage","$25 M","$732 M","Social","Upcoming","","Bankai Ventures","","","","","","",""
"CROSSx","","https://icodrops.com/media/cache/bd/5b/bd5b2baebf9d0eded4c7dae87fd09755.webp","https://icodrops.com/crossx/","Private Stage","—","$3.14 M","DeFi","Upcoming","","","","","","","","",""
"Klubcoin","KLUB","https://icodrops.com/media/cache/d5/78/d5787aa4917e7d522999f0e2996076a8.webp","https://icodrops.com/klubcoin/","Private Stage","—","$1.4 M","Social","Upcoming","","Ethereum","","","","","","",""
"Foundation","","https://icodrops.com/media/cache/7a/30/7a3096eb942dda6b7a385ef0b2111b52.webp","https://icodrops.com/foundation/","Private Stage","$9.5 M","—","Foundation.app","Upcoming","","Polychain Capital","BoltVC","Deep Ventures","More Details","","","",""
"Bonfire","","https://icodrops.com/media/cache/d1/74/d1747d4ffc4822576baae95e77f9cd73.webp","https://icodrops.com/bonfire/","Private Stage","$6.2 M","$5.53 M","Platform","Upcoming","","Variant","Coinbase Ventures","Libertus Capital","More Details","","","",""
"The Mars","MRST","https://icodrops.com/media/cache/c0/08/c00810da3a2fecc269bb88c52f54a157.webp","https://icodrops.com/the-mars/","Private Stage","$1 M","$433.92 K","Metaverse","Upcoming","","DWF Labs","","","","","","",""
"Orbiter Finance","OBT","https://icodrops.com/media/cache/d3/9e/d39e332ae7a0d16b1abf90ad17d517c4.webp","https://icodrops.com/orbiter-finance/","Private Stage","—","$10.64 M","Infrastructure","Upcoming","","Amber Group","Lemniscap","OKX Ventures","More Details","","","",""
"Trips","","https://icodrops.com/media/cache/21/ef/21ef832558f384234fcae074f249e0c6.webp","https://icodrops.com/trips/","Private Stage","$2.5 M","—","Social","Upcoming","","Shima Capital","Animal Capital","Blackwood Ventures","More Details","","","",""
